year,month,city,weather_val,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay
2018,1,Dallas,14.0,1719.7692307692307,43.0,16234.846153846154,5884.0,1417.076923076923
2018,2,Dallas,13.0,1574.2307692307693,42.92307692307692,26148.846153846152,7056.307692307692,1881.5384615384614
2018,3,Dallas,14.0,1789.6923076923076,34.46153846153846,14371.307692307691,5227.0,728.1538461538462
2018,4,Dallas,14.0,1735.076923076923,19.307692307692307,17146.53846153846,5217.0,1293.6153846153845
2018,5,Dallas,13.0,1826.8461538461538,28.615384615384617,23119.846153846152,7399.076923076923,1557.7692307692307
2018,6,Dallas,14.0,1890.6923076923076,40.46153846153846,28190.23076923077,8909.0,1959.0
2018,7,Dallas,14.0,1940.5384615384614,38.76923076923077,33419.307692307695,9245.692307692309,2340.153846153846
2018,8,Dallas,15.0,1945.1538461538462,37.23076923076923,32025.076923076922,9284.0,2099.923076923077
2018,9,Dallas,14.0,1753.4615384615386,55.07692307692308,26959.615384615383,7381.153846153846,1782.3076923076924
2018,10,Dallas,14.0,1810.7692307692307,41.46153846153846,32318.69230769231,8585.76923076923,1921.2307692307693
2018,11,Dallas,14.0,1732.3076923076924,13.538461538461538,20344.53846153846,7021.384615384615,994.5384615384615
2018,12,Dallas,14.0,1763.923076923077,54.0,24727.46153846154,7221.0,1702.6153846153845
