,city,date,weather
3,"Atlanta, United States of America",2018-05-04,Clear
4,"Atlanta, United States of America",2018-05-05,Overcast
5,"Atlanta, United States of America",2018-05-06,Clear
6,"Atlanta, United States of America",2018-05-07,Clear
7,"Atlanta, United States of America",2018-05-08,Clear
8,"Atlanta, United States of America",2018-05-09,Partly cloudy
9,"Atlanta, United States of America",2018-05-10,Clear
10,"Atlanta, United States of America",2018-05-11,Clear
11,"Atlanta, United States of America",2018-05-12,Clear
12,"Atlanta, United States of America",2018-05-13,Clear
13,"Atlanta, United States of America",2018-05-14,Clear
14,"Atlanta, United States of America",2018-05-15,Partly cloudy
15,"Atlanta, United States of America",2018-05-16,Overcast
16,"Atlanta, United States of America",2018-05-17,Partly cloudy
17,"Atlanta, United States of America",2018-05-18,Partly cloudy
18,"Atlanta, United States of America",2018-05-19,Cloudy
19,"Atlanta, United States of America",2018-05-20,Partly cloudy
20,"Atlanta, United States of America",2018-05-21,Cloudy
21,"Atlanta, United States of America",2018-05-22,Clear
22,"Atlanta, United States of America",2018-05-23,Cloudy
23,"Atlanta, United States of America",2018-05-24,Partly cloudy
24,"Atlanta, United States of America",2018-05-25,Cloudy
25,"Atlanta, United States of America",2018-05-26,Partly cloudy
26,"Atlanta, United States of America",2018-05-27,Clear
27,"Atlanta, United States of America",2018-05-28,Overcast
28,"Atlanta, United States of America",2018-05-29,Cloudy
29,"Atlanta, United States of America",2018-05-30,Partly cloudy
30,"Atlanta, United States of America",2018-05-31,Clear
0,"Atlanta, United States of America",2018-06-01,Clear
1,"Atlanta, United States of America",2018-06-02,Partly cloudy
2,"Atlanta, United States of America",2018-06-03,Clear
3,"Atlanta, United States of America",2018-06-04,Clear
4,"Atlanta, United States of America",2018-06-05,Partly cloudy
5,"Atlanta, United States of America",2018-06-06,Clear
6,"Atlanta, United States of America",2018-06-07,Clear
7,"Atlanta, United States of America",2018-06-08,Clear
8,"Atlanta, United States of America",2018-06-09,Clear
9,"Atlanta, United States of America",2018-06-10,Clear
10,"Atlanta, United States of America",2018-06-11,Clear
11,"Atlanta, United States of America",2018-06-12,Clear
12,"Atlanta, United States of America",2018-06-13,Partly cloudy
13,"Atlanta, United States of America",2018-06-14,Partly cloudy
14,"Atlanta, United States of America",2018-06-15,Clear
15,"Atlanta, United States of America",2018-06-16,Clear
16,"Atlanta, United States of America",2018-06-17,Clear
17,"Atlanta, United States of America",2018-06-18,Clear
18,"Atlanta, United States of America",2018-06-19,Clear
19,"Atlanta, United States of America",2018-06-20,Clear
20,"Atlanta, United States of America",2018-06-21,Partly cloudy
21,"Atlanta, United States of America",2018-06-22,Clear
22,"Atlanta, United States of America",2018-06-23,Partly cloudy
23,"Atlanta, United States of America",2018-06-24,Clear
24,"Atlanta, United States of America",2018-06-25,Clear
25,"Atlanta, United States of America",2018-06-26,Clear
26,"Atlanta, United States of America",2018-06-27,Clear
27,"Atlanta, United States of America",2018-06-28,Overcast
28,"Atlanta, United States of America",2018-06-29,Partly cloudy
29,"Atlanta, United States of America",2018-06-30,Clear
0,"Atlanta, United States of America",2018-07-01,Clear
1,"Atlanta, United States of America",2018-07-02,Partly cloudy
2,"Atlanta, United States of America",2018-07-03,Clear
3,"Atlanta, United States of America",2018-07-04,Clear
4,"Atlanta, United States of America",2018-07-05,Clear
5,"Atlanta, United States of America",2018-07-06,Clear
6,"Atlanta, United States of America",2018-07-07,Clear
7,"Atlanta, United States of America",2018-07-08,Overcast
8,"Atlanta, United States of America",2018-07-09,Clear
9,"Atlanta, United States of America",2018-07-10,Clear
10,"Atlanta, United States of America",2018-07-11,Clear
11,"Atlanta, United States of America",2018-07-12,Clear
12,"Atlanta, United States of America",2018-07-13,Clear
13,"Atlanta, United States of America",2018-07-14,Clear
14,"Atlanta, United States of America",2018-07-15,Clear
15,"Atlanta, United States of America",2018-07-16,Partly cloudy
16,"Atlanta, United States of America",2018-07-17,Partly cloudy
17,"Atlanta, United States of America",2018-07-18,Clear
18,"Atlanta, United States of America",2018-07-19,Clear
19,"Atlanta, United States of America",2018-07-20,Partly cloudy
20,"Atlanta, United States of America",2018-07-21,Clear
21,"Atlanta, United States of America",2018-07-22,Clear
22,"Atlanta, United States of America",2018-07-23,Partly cloudy
23,"Atlanta, United States of America",2018-07-24,Partly cloudy
24,"Atlanta, United States of America",2018-07-25,Clear
25,"Atlanta, United States of America",2018-07-26,Clear
26,"Atlanta, United States of America",2018-07-27,Clear
27,"Atlanta, United States of America",2018-07-28,Clear
28,"Atlanta, United States of America",2018-07-29,Clear
29,"Atlanta, United States of America",2018-07-30,Clear
30,"Atlanta, United States of America",2018-07-31,Clear
0,"Atlanta, United States of America",2018-08-01,Partly cloudy
1,"Atlanta, United States of America",2018-08-02,Cloudy
2,"Atlanta, United States of America",2018-08-03,Overcast
3,"Atlanta, United States of America",2018-08-04,Clear
4,"Atlanta, United States of America",2018-08-05,Clear
5,"Atlanta, United States of America",2018-08-06,Clear
6,"Atlanta, United States of America",2018-08-07,Clear
7,"Atlanta, United States of America",2018-08-08,Clear
8,"Atlanta, United States of America",2018-08-09,Clear
9,"Atlanta, United States of America",2018-08-10,Clear
10,"Atlanta, United States of America",2018-08-11,Clear
11,"Atlanta, United States of America",2018-08-12,Clear
12,"Atlanta, United States of America",2018-08-13,Clear
13,"Atlanta, United States of America",2018-08-14,Clear
14,"Atlanta, United States of America",2018-08-15,Clear
15,"Atlanta, United States of America",2018-08-16,Clear
16,"Atlanta, United States of America",2018-08-17,Clear
17,"Atlanta, United States of America",2018-08-18,Partly cloudy
18,"Atlanta, United States of America",2018-08-19,Partly cloudy
19,"Atlanta, United States of America",2018-08-20,Partly cloudy
20,"Atlanta, United States of America",2018-08-21,Partly cloudy
21,"Atlanta, United States of America",2018-08-22,Partly cloudy
22,"Atlanta, United States of America",2018-08-23,Clear
23,"Atlanta, United States of America",2018-08-24,Clear
24,"Atlanta, United States of America",2018-08-25,Clear
25,"Atlanta, United States of America",2018-08-26,Clear
26,"Atlanta, United States of America",2018-08-27,Clear
27,"Atlanta, United States of America",2018-08-28,Clear
28,"Atlanta, United States of America",2018-08-29,Partly cloudy
29,"Atlanta, United States of America",2018-08-30,Clear
30,"Atlanta, United States of America",2018-08-31,Partly cloudy
0,"Atlanta, United States of America",2018-09-01,Clear
1,"Atlanta, United States of America",2018-09-02,Clear
2,"Atlanta, United States of America",2018-09-03,Clear
3,"Atlanta, United States of America",2018-09-04,Clear
4,"Atlanta, United States of America",2018-09-05,Cloudy
5,"Atlanta, United States of America",2018-09-06,Partly cloudy
6,"Atlanta, United States of America",2018-09-07,Clear
7,"Atlanta, United States of America",2018-09-08,Clear
8,"Atlanta, United States of America",2018-09-09,Clear
9,"Atlanta, United States of America",2018-09-10,Clear
10,"Atlanta, United States of America",2018-09-11,Cloudy
11,"Atlanta, United States of America",2018-09-12,Partly cloudy
12,"Atlanta, United States of America",2018-09-13,Clear
13,"Atlanta, United States of America",2018-09-14,Clear
14,"Atlanta, United States of America",2018-09-15,Clear
15,"Atlanta, United States of America",2018-09-16,Partly cloudy
16,"Atlanta, United States of America",2018-09-17,Clear
17,"Atlanta, United States of America",2018-09-18,Clear
18,"Atlanta, United States of America",2018-09-19,Clear
19,"Atlanta, United States of America",2018-09-20,Clear
20,"Atlanta, United States of America",2018-09-21,Clear
21,"Atlanta, United States of America",2018-09-22,Partly cloudy
22,"Atlanta, United States of America",2018-09-23,Clear
23,"Atlanta, United States of America",2018-09-24,Clear
24,"Atlanta, United States of America",2018-09-25,Overcast
25,"Atlanta, United States of America",2018-09-26,Partly cloudy
26,"Atlanta, United States of America",2018-09-27,Cloudy
27,"Atlanta, United States of America",2018-09-28,Cloudy
28,"Atlanta, United States of America",2018-09-29,Clear
29,"Atlanta, United States of America",2018-09-30,Clear
0,"Atlanta, United States of America",2018-10-01,Clear
1,"Atlanta, United States of America",2018-10-02,Partly cloudy
2,"Atlanta, United States of America",2018-10-03,Clear
3,"Atlanta, United States of America",2018-10-04,Clear
4,"Atlanta, United States of America",2018-10-05,Clear
5,"Atlanta, United States of America",2018-10-06,Clear
6,"Atlanta, United States of America",2018-10-07,Partly cloudy
7,"Atlanta, United States of America",2018-10-08,Clear
8,"Atlanta, United States of America",2018-10-09,Cloudy
9,"Atlanta, United States of America",2018-10-10,Overcast
10,"Atlanta, United States of America",2018-10-11,Overcast
11,"Atlanta, United States of America",2018-10-12,Clear
12,"Atlanta, United States of America",2018-10-13,Partly cloudy
13,"Atlanta, United States of America",2018-10-14,Clear
14,"Atlanta, United States of America",2018-10-15,Clear
