,year,month,carrier,carrier_name,airport,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay,Airport,city
15212,2018,10,AA,American Airlines Inc.,DEN,851.0,3.0,10680.0,3369.0,921.0, Denver International,"Denver, CO"
15213,2018,10,AA,American Airlines Inc.,DFW,12145.0,171.0,211203.0,59035.0,7880.0, Dallas/Fort Worth International,Dallas
15236,2018,10,AA,American Airlines Inc.,LAX,3507.0,21.0,46784.0,18833.0,2202.0, Los Angeles International,"Los Angeles, CA"
15256,2018,10,AA,American Airlines Inc.,ORD,5582.0,27.0,52051.0,16811.0,1681.0, Chicago O'Hare International,"Chicago, IL"
15294,2018,10,AS,Alaska Airlines Inc.,ATL,53.0,0.0,234.0,69.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
15307,2018,10,AS,Alaska Airlines Inc.,DEN,119.0,0.0,1401.0,253.0,0.0, Denver International,"Denver, CO"
15308,2018,10,AS,Alaska Airlines Inc.,DFW,120.0,0.0,935.0,107.0,7.0, Dallas/Fort Worth International,Dallas
15323,2018,10,AS,Alaska Airlines Inc.,LAX,1794.0,19.0,15660.0,4356.0,198.0, Los Angeles International,"Los Angeles, CA"
15335,2018,10,AS,Alaska Airlines Inc.,ORD,326.0,1.0,2633.0,724.0,31.0, Chicago O'Hare International,"Chicago, IL"
15364,2018,10,B6,JetBlue Airways,ATL,292.0,0.0,3261.0,1566.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
15379,2018,10,B6,JetBlue Airways,DEN,109.0,0.0,1243.0,437.0,0.0, Denver International,"Denver, CO"
15090,2018,10,9E,Endeavor Air Inc.,ATL,2382.0,13.0,19940.0,6450.0,230.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
15390,2018,10,B6,JetBlue Airways,LAX,491.0,0.0,7159.0,2756.0,31.0, Los Angeles International,"Los Angeles, CA"
15727,2018,10,F9,Frontier Airlines Inc.,LAX,93.0,0.0,1871.0,411.0,2.0, Los Angeles International,"Los Angeles, CA"
15708,2018,10,F9,Frontier Airlines Inc.,DFW,52.0,0.0,1113.0,470.0,0.0, Dallas/Fort Worth International,Dallas
15707,2018,10,F9,Frontier Airlines Inc.,DEN,2198.0,37.0,41488.0,9905.0,135.0, Denver International,"Denver, CO"
15689,2018,10,F9,Frontier Airlines Inc.,ATL,279.0,5.0,4035.0,1212.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
15380,2018,10,B6,JetBlue Airways,DFW,57.0,1.0,971.0,172.0,0.0, Dallas/Fort Worth International,Dallas
15611,2018,10,EV,ExpressJet Airlines Inc.,DFW,938.0,53.0,25251.0,11615.0,0.0, Dallas/Fort Worth International,Dallas
15663,2018,10,EV,ExpressJet Airlines Inc.,ORD,877.0,6.0,14594.0,4126.0,29.0, Chicago O'Hare International,"Chicago, IL"
15531,2018,10,DL,Delta Air Lines Inc.,ORD,899.0,0.0,6483.0,2113.0,116.0, Chicago O'Hare International,"Chicago, IL"
15505,2018,10,DL,Delta Air Lines Inc.,LAX,2959.0,1.0,17862.0,8709.0,508.0, Los Angeles International,"Los Angeles, CA"
15468,2018,10,DL,Delta Air Lines Inc.,DFW,663.0,0.0,5499.0,1498.0,184.0, Dallas/Fort Worth International,Dallas
15467,2018,10,DL,Delta Air Lines Inc.,DEN,1003.0,0.0,3877.0,1641.0,219.0, Denver International,"Denver, CO"
15434,2018,10,DL,Delta Air Lines Inc.,ATL,21187.0,39.0,116097.0,45378.0,4800.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
15399,2018,10,B6,JetBlue Airways,ORD,229.0,0.0,4152.0,1341.0,0.0, Chicago O'Hare International,"Chicago, IL"
15579,2018,10,EV,ExpressJet Airlines Inc.,ATL,560.0,8.0,6974.0,2971.0,0.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17958,2018,11,OO,SkyWest Airlines Inc.,DEN,3522.0,55.0,45724.0,19357.0,1194.0, Denver International,"Denver, CO"
17906,2018,11,OO,SkyWest Airlines Inc.,ATL,1850.0,3.0,39550.0,8047.0,5104.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17869,2018,11,OH,PSA Airlines Inc.,ORD,191.0,10.0,3165.0,997.0,15.0, Chicago O'Hare International,"Chicago, IL"
17807,2018,11,OH,PSA Airlines Inc.,ATL,103.0,3.0,1344.0,434.0,54.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17790,2018,11,NK,Spirit Air Lines,ORD,679.0,14.0,10135.0,2093.0,98.0, Chicago O'Hare International,"Chicago, IL"
17629,2018,11,MQ,Envoy Air,ATL,55.0,2.0,479.0,12.0,83.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17773,2018,11,NK,Spirit Air Lines,DFW,598.0,1.0,6169.0,683.0,210.0, Dallas/Fort Worth International,Dallas
17772,2018,11,NK,Spirit Air Lines,DEN,232.0,1.0,2907.0,385.0,5.0, Denver International,"Denver, CO"
17763,2018,11,NK,Spirit Air Lines,ATL,689.0,1.0,9510.0,1751.0,45.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
17726,2018,11,MQ,Envoy Air,ORD,5370.0,283.0,71570.0,13753.0,9103.0, Chicago O'Hare International,"Chicago, IL"
17665,2018,11,MQ,Envoy Air,DFW,3933.0,35.0,34079.0,9576.0,2845.0, Dallas/Fort Worth International,Dallas
17959,2018,11,OO,SkyWest Airlines Inc.,DFW,1128.0,14.0,16584.0,5836.0,1294.0, Dallas/Fort Worth International,Dallas
17781,2018,11,NK,Spirit Air Lines,LAX,651.0,1.0,6426.0,2424.0,84.0, Los Angeles International,"Los Angeles, CA"
18479,2018,11,YX,Republic Airline,ORD,1216.0,43.0,14689.0,1582.0,731.0, Chicago O'Hare International,"Chicago, IL"
18232,2018,11,WN,Southwest Airlines Co.,ATL,3474.0,20.0,35692.0,10478.0,938.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
18059,2018,11,OO,SkyWest Airlines Inc.,ORD,5077.0,238.0,95783.0,28250.0,5623.0, Chicago O'Hare International,"Chicago, IL"
18131,2018,11,UA,United Air Lines Inc.,ATL,358.0,5.0,5062.0,1059.0,240.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
