,city,date,weather
7,"Chicago, United States of America",2018-05-08,Clear
8,"Chicago, United States of America",2018-05-09,Clear
9,"Chicago, United States of America",2018-05-10,Cloudy
10,"Chicago, United States of America",2018-05-11,Partly cloudy
11,"Chicago, United States of America",2018-05-12,Overcast
12,"Chicago, United States of America",2018-05-13,Thundery outbreaks possible
13,"Chicago, United States of America",2018-05-14,Thundery outbreaks possible
14,"Chicago, United States of America",2018-05-15,Mist
15,"Chicago, United States of America",2018-05-16,Overcast
16,"Chicago, United States of America",2018-05-17,Clear
17,"Chicago, United States of America",2018-05-18,Clear
18,"Chicago, United States of America",2018-05-19,Overcast
19,"Chicago, United States of America",2018-05-20,Partly cloudy
20,"Chicago, United States of America",2018-05-21,Cloudy
21,"Chicago, United States of America",2018-05-22,Overcast
22,"Chicago, United States of America",2018-05-23,Clear
23,"Chicago, United States of America",2018-05-24,Clear
24,"Chicago, United States of America",2018-05-25,Clear
25,"Chicago, United States of America",2018-05-26,Partly cloudy
26,"Chicago, United States of America",2018-05-27,Clear
27,"Chicago, United States of America",2018-05-28,Clear
28,"Chicago, United States of America",2018-05-29,Clear
29,"Chicago, United States of America",2018-05-30,Partly cloudy
30,"Chicago, United States of America",2018-05-31,Clear
0,"Chicago, United States of America",2018-06-01,Clear
1,"Chicago, United States of America",2018-06-02,Clear
2,"Chicago, United States of America",2018-06-03,Partly cloudy
3,"Chicago, United States of America",2018-06-04,Clear
4,"Chicago, United States of America",2018-06-05,Partly cloudy
5,"Chicago, United States of America",2018-06-06,Clear
6,"Chicago, United States of America",2018-06-07,Thundery outbreaks possible
7,"Chicago, United States of America",2018-06-08,Clear
8,"Chicago, United States of America",2018-06-09,Clear
9,"Chicago, United States of America",2018-06-10,Partly cloudy
10,"Chicago, United States of America",2018-06-11,Overcast
11,"Chicago, United States of America",2018-06-12,Cloudy
12,"Chicago, United States of America",2018-06-13,Partly cloudy
13,"Chicago, United States of America",2018-06-14,Clear
14,"Chicago, United States of America",2018-06-15,Clear
15,"Chicago, United States of America",2018-06-16,Clear
16,"Chicago, United States of America",2018-06-17,Clear
17,"Chicago, United States of America",2018-06-18,Clear
18,"Chicago, United States of America",2018-06-19,Clear
19,"Chicago, United States of America",2018-06-20,Overcast
20,"Chicago, United States of America",2018-06-21,Overcast
21,"Chicago, United States of America",2018-06-22,Overcast
22,"Chicago, United States of America",2018-06-23,Overcast
23,"Chicago, United States of America",2018-06-24,Partly cloudy
24,"Chicago, United States of America",2018-06-25,Partly cloudy
25,"Chicago, United States of America",2018-06-26,Clear
26,"Chicago, United States of America",2018-06-27,Partly cloudy
27,"Chicago, United States of America",2018-06-28,Clear
28,"Chicago, United States of America",2018-06-29,Clear
29,"Chicago, United States of America",2018-06-30,Clear
0,"Chicago, United States of America",2018-07-01,Clear
1,"Chicago, United States of America",2018-07-02,Clear
2,"Chicago, United States of America",2018-07-03,Clear
3,"Chicago, United States of America",2018-07-04,Clear
4,"Chicago, United States of America",2018-07-05,Clear
5,"Chicago, United States of America",2018-07-06,Clear
6,"Chicago, United States of America",2018-07-07,Clear
7,"Chicago, United States of America",2018-07-08,Clear
8,"Chicago, United States of America",2018-07-09,Clear
9,"Chicago, United States of America",2018-07-10,Clear
10,"Chicago, United States of America",2018-07-11,Clear
11,"Chicago, United States of America",2018-07-12,Clear
12,"Chicago, United States of America",2018-07-13,Clear
13,"Chicago, United States of America",2018-07-14,Clear
14,"Chicago, United States of America",2018-07-15,Clear
15,"Chicago, United States of America",2018-07-16,Clear
16,"Chicago, United States of America",2018-07-17,Clear
17,"Chicago, United States of America",2018-07-18,Clear
18,"Chicago, United States of America",2018-07-19,Partly cloudy
19,"Chicago, United States of America",2018-07-20,Cloudy
20,"Chicago, United States of America",2018-07-21,Overcast
21,"Chicago, United States of America",2018-07-22,Overcast
22,"Chicago, United States of America",2018-07-23,Partly cloudy
23,"Chicago, United States of America",2018-07-24,Partly cloudy
24,"Chicago, United States of America",2018-07-25,Clear
25,"Chicago, United States of America",2018-07-26,Partly cloudy
26,"Chicago, United States of America",2018-07-27,Clear
27,"Chicago, United States of America",2018-07-28,Clear
28,"Chicago, United States of America",2018-07-29,Clear
29,"Chicago, United States of America",2018-07-30,Clear
30,"Chicago, United States of America",2018-07-31,Clear
0,"Chicago, United States of America",2018-08-01,Clear
1,"Chicago, United States of America",2018-08-02,Clear
2,"Chicago, United States of America",2018-08-03,Clear
3,"Chicago, United States of America",2018-08-04,Clear
4,"Chicago, United States of America",2018-08-05,Clear
5,"Chicago, United States of America",2018-08-06,Partly cloudy
6,"Chicago, United States of America",2018-08-07,Partly cloudy
7,"Chicago, United States of America",2018-08-08,Partly cloudy
8,"Chicago, United States of America",2018-08-09,Clear
9,"Chicago, United States of America",2018-08-10,Partly cloudy
10,"Chicago, United States of America",2018-08-11,Clear
11,"Chicago, United States of America",2018-08-12,Clear
